,Player,pts,match_count,elo,match_count_indoor_hard,elo_indoor_hard,match_count_indoor_carpet,elo_indoor_carpet,match_count_indoor_clay,elo_indoor_clay,match_count_outdoor_hard,elo_outdoor_hard,match_count_outdoor_clay,elo_outdoor_clay,match_count_outdoor_grass,elo_outdoor_grass
137,Johnson S.,1190,396,1595.4344411902252,39,1470.1766417716801,0,1500.0,0,1500.0,223,1594.0563147021332,66,1584.0656957224312,68,1627.6644435814276
138,Klizan M.,1230,273,1519.0673642608788,56,1492.2684421809597,0,1500.0,6,1501.0748655511572,81,1504.3621524776947,114,1637.454281513764,16,1419.468170692236
139,Raonic M.,1810,545,1741.20936718518,98,1672.091770448714,0,1500.0,0,1500.0,276,1709.1907647773671,97,1705.8854662031356,74,1754.2557196588536
140,Kudla D.,837,198,1435.8389126982163,19,1403.6241589829706,0,1500.0,0,1500.0,104,1421.8872285135626,23,1392.710458306059,52,1516.7054302603879
141,Kamke T.,450,163,1535.2527182493543,43,1494.7972837790924,0,1500.0,0,1500.0,53,1423.218462615466,43,1543.2521835860844,24,1515.2530426847386
142,Chung H.,889,138,1664.379661632732,17,1508.2448340442659,0,1500.0,0,1500.0,89,1615.970555690375,29,1563.2490056576526,3,1479.8254493668032
143,Troicki V.,915,527,1672.364010408565,102,1587.2579939840898,12,1499.6318630522933,0,1500.0,232,1676.3803218029052,118,1619.8585089552198,63,1551.098198183351
144,Thiem D.,3895,536,1773.514396955373,106,1676.600305277177,0,1500.0,1,1486.8336734782492,168,1687.8687017947052,229,1780.6506727444016,32,1528.420044944959
145,Dodig I.,1185,245,1630.0850762906975,60,1555.1406723329126,3,1515.6731637994133,0,1500.0,95,1542.3006326815544,57,1487.9118597704967,30,1554.701802664774
146,Pouille L.,1325,260,1722.4741783828113,62,1631.6954720988806,0,1500.0,0,1500.0,93,1656.9570786161862,72,1568.2483868133736,33,1579.1497163828362
147,Thompson J.,896,239,1510.269446552566,21,1482.9813533517352,0,1500.0,0,1500.0,131,1494.776610935813,34,1437.3647909028423,53,1497.5403505873887
148,Ferrer D.,1290,1068,1769.6200274613389,140,1703.3214557408382,21,1495.1693101314718,0,1500.0,392,1755.4460240038009,448,1709.816025563786,67,1631.1416326621911
149,Edmund K.,967,233,1755.3935828132555,29,1641.7987248229708,0,1500.0,0,1500.0,122,1627.5765784627558,51,1566.5742376500398,31,1496.0774564543528
150,Donaldson J.,908,110,1580.8100101855243,7,1430.6421386790207,0,1500.0,0,1500.0,74,1585.310417994064,15,1446.7126826590927,14,1474.6447927176446
151,Schwartzman D.,1735,439,1695.4341131036497,52,1588.1115766206121,0,1500.0,8,1509.843169008461,156,1666.0611406561366,197,1612.1676163001778,26,1455.745571974855
152,Nadal R.,5820,1254,1830.806534138029,104,1729.3878732222413,14,1537.0177782506387,4,1567.5043250762053,535,1936.510643650784,500,2114.7706593190774,97,1843.3552255080722
153,Wawrinka S.,367,878,1762.7331352078872,144,1684.6748672024094,20,1503.385139386821,0,1500.0,359,1785.555909446452,290,1731.6353423359365,65,1584.546019449019
