,P1==Winner,P1_wins_proba_elo,P1_pts,P2_pts,field_type==indoor_hard,P1_wins_proba_elo_indoor_hard,field_type==outdoor_hard,P1_wins_proba_elo_outdoor_hard,field_type==outdoor_clay,P1_wins_proba_elo_outdoor_clay,field_type==outdoor_grass,P1_wins_proba_elo_outdoor_grass
37671,True,0.5305918150376683,0,20,0,0.6863933625291461,0,0.3279702936671898,1,0.3022983138113589,0,0.4983584119150618
38842,True,0.6015424109950951,350,276,0,0.6293815785729421,0,0.5040338557562516,0,0.4533692946829791,1,0.41785742389395
38835,True,0.3840881203199936,940,165,0,0.6767193103592125,0,0.5236152957866623,0,0.7309591693409672,1,0.5927468098614945
38836,True,0.5437052818942969,622,309,0,0.5052816872018853,0,0.3805418863551275,0,0.4473943069298334,1,0.4979758058053448
38842,False,0.3984575890049049,276,350,0,0.3706184214270579,0,0.4959661442437484,0,0.546630705317021,1,0.58214257610605
38837,True,0.35790870293614374,670,0,0,0.4713493526642853,0,0.4307755586993865,0,0.4129662610017921,1,0.6190905005494397
37669,True,0.46249484250553785,481,0,0,0.4218656190370162,0,0.5827574511959193,1,0.3053322789580127,0,0.5462937980499324
38836,False,0.4562947181057031,309,622,0,0.49471831279811473,0,0.6194581136448725,0,0.5526056930701666,1,0.5020241941946553
37667,False,0.3768195120766573,3030,1005,0,0.6788913895274005,0,0.6005964585702186,1,0.4644810610035389,0,0.6344467492864159
37666,False,0.1218183513048635,2095,424,0,0.4977197197169504,0,0.8013663822667965,1,0.8579111479587751,0,0.8077694286759916
38835,False,0.6159118796800064,165,940,0,0.3232806896407875,0,0.4763847042133377,0,0.26904083065903284,1,0.40725319013850547
37669,False,0.5375051574944621,0,481,0,0.5781343809629838,0,0.41724254880408074,1,0.6946677210419874,0,0.4537062019500676
38837,False,0.6420912970638563,0,670,0,0.5286506473357147,0,0.5692244413006136,0,0.5870337389982079,1,0.3809094994505603
37671,False,0.4694081849623318,20,0,0,0.31360663747085393,0,0.6720297063328102,1,0.6977016861886411,0,0.5016415880849382
38846,True,0.4171337098601363,382,297,0,0.6027915528463719,0,0.50114352573281,0,0.5268129566645829,1,0.5340728135617889
38846,False,0.5828662901398637,297,382,0,0.39720844715362813,0,0.49885647426719004,0,0.47318704333541706,1,0.46592718643821107
36200,True,0.2658722426845155,1405,790,0,0.5385732504582174,0,0.6211530884279065,1,0.6848017899108713,0,0.5879439537317687
36200,False,0.7341277573154845,790,1405,0,0.46142674954178264,0,0.3788469115720935,1,0.31519821008912874,0,0.41205604626823134
